CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-12,885.0,324.0,286.0,340.0,321.0,352.0,321.0,309.0,313.0,350.0,331.0,445.0,235.0
2011-01,417.0,92.0,111.0,96.0,134.0,120.0,103.0,101.0,125.0,136.0,152.0,49.0,
2011-02,380.0,71.0,71.0,108.0,103.0,94.0,96.0,106.0,94.0,116.0,26.0,,
2011-03,452.0,68.0,114.0,90.0,101.0,76.0,121.0,104.0,126.0,39.0,,,
2011-04,300.0,64.0,61.0,63.0,59.0,68.0,65.0,78.0,22.0,,,,
2011-05,284.0,54.0,49.0,49.0,59.0,66.0,75.0,27.0,,,,,
2011-06,242.0,42.0,38.0,64.0,56.0,81.0,23.0,,,,,,
2011-07,188.0,34.0,39.0,42.0,51.0,21.0,,,,,,,
2011-08,169.0,35.0,42.0,41.0,21.0,,,,,,,,
2011-09,299.0,70.0,90.0,34.0,,,,,,,,,
2011-10,358.0,86.0,41.0,,,,,,,,,,
2011-11,323.0,36.0,,,,,,,,,,,
2011-12,41.0,,,,,,,,,,,,
