CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-12,100.0,36.61,32.32,38.42,36.27,39.77,36.27,34.92,35.37,39.55,37.4,50.28,26.55
2011-01,100.0,22.06,26.62,23.02,32.13,28.78,24.7,24.22,29.98,32.61,36.45,11.75,
2011-02,100.0,18.68,18.68,28.42,27.11,24.74,25.26,27.89,24.74,30.53,6.84,,
2011-03,100.0,15.04,25.22,19.91,22.35,16.81,26.77,23.01,27.88,8.63,,,
2011-04,100.0,21.33,20.33,21.0,19.67,22.67,21.67,26.0,7.33,,,,
2011-05,100.0,19.01,17.25,17.25,20.77,23.24,26.41,9.51,,,,,
2011-06,100.0,17.36,15.7,26.45,23.14,33.47,9.5,,,,,,
2011-07,100.0,18.09,20.74,22.34,27.13,11.17,,,,,,,
2011-08,100.0,20.71,24.85,24.26,12.43,,,,,,,,
2011-09,100.0,23.41,30.1,11.37,,,,,,,,,
2011-10,100.0,24.02,11.45,,,,,,,,,,
2011-11,100.0,11.15,,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,,
